"PC_Name","DisplayName","DisplayVersion","Publisher","InstallDate","ScanDate"
"COMTECH","Adobe Reader XI (11.0.03)","11.0.03","Adobe Systems Incorporated","20260604","2026-07-10 21:05:58"
"COMTECH","Advanced IP Scanner 2.5.1","2.5.4594.1","Famatech","20260612","2026-07-10 21:05:58"
"COMTECH","AnyDesk","ad 9.7.5","AnyDesk Software GmbH",,"2026-07-10 21:05:58"
"COMTECH","Dell PointStick Driver","10.3201.101.307","ALPS ELECTRIC CO., LTD.",,"2026-07-10 21:05:58"
"COMTECH","Git","2.54.0","The Git Development Community","20260621","2026-07-10 21:05:58"
"COMTECH","GitHub CLI","2.96.0","GitHub, Inc.","20260706","2026-07-10 21:05:58"
"COMTECH","Google Chrome","150.0.7871.101","Google LLC","20260623","2026-07-10 21:05:58"
"COMTECH","Google Drive","128.0.0.0","Google LLC",,"2026-07-10 21:05:58"
"COMTECH","iCloud Outlook","15.8.0.127","Apple Inc.","20260628","2026-07-10 21:05:58"
"COMTECH","LocalServiceComponents","1.0.0.119",,"20260602","2026-07-10 21:05:58"
"COMTECH","Logi Download Assistant","2.0.529","Logitech",,"2026-07-10 21:05:58"
"COMTECH","Microsoft .NET SDK 10.0.301 (x64)","10.3.126.27133","Microsoft Corporation","20260706","2026-07-10 21:05:58"
"COMTECH","Microsoft .NET SDK 10.0.301 (x64) from Visual Studio","40.11.22621","Microsoft Corporation","20260628","2026-07-10 21:05:58"
"COMTECH","Microsoft Edge","150.0.4078.48","Microsoft Corporation","20260704","2026-07-10 21:05:58"
"COMTECH","Microsoft Office LTSC Professional Plus 2024 - en-us","16.0.17932.20842","Microsoft Corporation",,"2026-07-10 21:05:58"
"COMTECH","Microsoft OneDrive","26.113.0614.0004","Microsoft Corporation",,"2026-07-10 21:05:58"
"COMTECH","Microsoft System CLR Types for SQL Server 2019","15.0.2000.5","Microsoft Corporation","20260628","2026-07-10 21:05:58"
"COMTECH","Microsoft Teams Meeting Add-in for Microsoft Office","1.26.11802","Microsoft","20260620","2026-07-10 21:05:58"
"COMTECH","Microsoft Visual C++ 2015-2022 Redistributable (x64) - 14.42.34438","14.42.34438.0","Microsoft Corporation",,"2026-07-10 21:05:58"
"COMTECH","Microsoft Visual C++ v14 Redistributable (x86) - 14.51.36247","14.51.36247.0","Microsoft Corporation",,"2026-07-10 21:05:58"
"COMTECH","Microsoft Visual Studio Installer","4.7.25.22189","Microsoft Corporation","20260628","2026-07-10 21:05:58"
"COMTECH","Nitro PDF Pro","14.41.1.4","Nitro","20260615","2026-07-10 21:05:58"
"COMTECH","SADP","3.1.4.5","Hangzhou Hikvision Digital Technology Co., Ltd.",,"2026-07-10 21:05:58"
"COMTECH","Surveillance Viewer IPC UN version 0.3.5.5","0.3.5.5","Surveillance Viewer","20260517","2026-07-10 21:05:58"
"COMTECH","Visual Studio Community 2026","18.7.2","Microsoft Corporation","20260628","2026-07-10 21:05:58"
"COMTECH","vs_CoreEditorFonts","17.7.40001","Microsoft Corporation","20260628","2026-07-10 21:05:58"
"COMTECH","Web Components","3.0.7.27",,"20260602","2026-07-10 21:05:58"
"COMTECH","WinRAR 7.23 (64-bit)","7.23.0","win.rar GmbH",,"2026-07-10 21:05:58"
"COMTECH","Adobe Reader XI (11.0.03)","11.0.03","Adobe Systems Incorporated","20260604","2026-07-10 21:08:00"
"COMTECH","Advanced IP Scanner 2.5.1","2.5.4594.1","Famatech","20260612","2026-07-10 21:08:00"
"COMTECH","AnyDesk","ad 9.7.5","AnyDesk Software GmbH",,"2026-07-10 21:08:00"
"COMTECH","Dell PointStick Driver","10.3201.101.307","ALPS ELECTRIC CO., LTD.",,"2026-07-10 21:08:00"
"COMTECH","Git","2.54.0","The Git Development Community","20260621","2026-07-10 21:08:00"
"COMTECH","GitHub CLI","2.96.0","GitHub, Inc.","20260706","2026-07-10 21:08:00"
"COMTECH","Google Chrome","150.0.7871.101","Google LLC","20260623","2026-07-10 21:08:00"
"COMTECH","Google Drive","128.0.0.0","Google LLC",,"2026-07-10 21:08:00"
"COMTECH","iCloud Outlook","15.8.0.127","Apple Inc.","20260628","2026-07-10 21:08:00"
"COMTECH","LocalServiceComponents","1.0.0.119",,"20260602","2026-07-10 21:08:00"
"COMTECH","Logi Download Assistant","2.0.529","Logitech",,"2026-07-10 21:08:00"
"COMTECH","Microsoft .NET SDK 10.0.301 (x64)","10.3.126.27133","Microsoft Corporation","20260706","2026-07-10 21:08:00"
"COMTECH","Microsoft .NET SDK 10.0.301 (x64) from Visual Studio","40.11.22621","Microsoft Corporation","20260628","2026-07-10 21:08:00"
"COMTECH","Microsoft Edge","150.0.4078.48","Microsoft Corporation","20260704","2026-07-10 21:08:00"
"COMTECH","Microsoft Office LTSC Professional Plus 2024 - en-us","16.0.17932.20842","Microsoft Corporation",,"2026-07-10 21:08:00"
"COMTECH","Microsoft OneDrive","26.113.0614.0004","Microsoft Corporation",,"2026-07-10 21:08:00"
"COMTECH","Microsoft System CLR Types for SQL Server 2019","15.0.2000.5","Microsoft Corporation","20260628","2026-07-10 21:08:00"
"COMTECH","Microsoft Teams Meeting Add-in for Microsoft Office","1.26.11802","Microsoft","20260620","2026-07-10 21:08:00"
"COMTECH","Microsoft Visual C++ 2015-2022 Redistributable (x64) - 14.42.34438","14.42.34438.0","Microsoft Corporation",,"2026-07-10 21:08:00"
"COMTECH","Microsoft Visual C++ v14 Redistributable (x86) - 14.51.36247","14.51.36247.0","Microsoft Corporation",,"2026-07-10 21:08:00"
"COMTECH","Microsoft Visual Studio Installer","4.7.25.22189","Microsoft Corporation","20260628","2026-07-10 21:08:00"
"COMTECH","Nitro PDF Pro","14.41.1.4","Nitro","20260615","2026-07-10 21:08:00"
"COMTECH","SADP","3.1.4.5","Hangzhou Hikvision Digital Technology Co., Ltd.",,"2026-07-10 21:08:00"
"COMTECH","Surveillance Viewer IPC UN version 0.3.5.5","0.3.5.5","Surveillance Viewer","20260517","2026-07-10 21:08:00"
"COMTECH","Visual Studio Community 2026","18.7.2","Microsoft Corporation","20260628","2026-07-10 21:08:00"
"COMTECH","vs_CoreEditorFonts","17.7.40001","Microsoft Corporation","20260628","2026-07-10 21:08:00"
"COMTECH","Web Components","3.0.7.27",,"20260602","2026-07-10 21:08:00"
"COMTECH","WinRAR 7.23 (64-bit)","7.23.0","win.rar GmbH",,"2026-07-10 21:08:00"
"COMTECH","Adobe Reader XI (11.0.03)","11.0.03","Adobe Systems Incorporated","20260604","2026-07-10 23:22:00"
"COMTECH","Advanced IP Scanner 2.5.1","2.5.4594.1","Famatech","20260612","2026-07-10 23:22:00"
"COMTECH","AnyDesk","ad 9.7.5","AnyDesk Software GmbH",,"2026-07-10 23:22:00"
"COMTECH","Dell PointStick Driver","10.3201.101.307","ALPS ELECTRIC CO., LTD.",,"2026-07-10 23:22:00"
"COMTECH","Git","2.54.0","The Git Development Community","20260621","2026-07-10 23:22:00"
"COMTECH","GitHub CLI","2.96.0","GitHub, Inc.","20260706","2026-07-10 23:22:00"
"COMTECH","Google Chrome","150.0.7871.101","Google LLC","20260623","2026-07-10 23:22:00"
"COMTECH","Google Drive","128.0.0.0","Google LLC",,"2026-07-10 23:22:00"
"COMTECH","iCloud Outlook","15.8.0.127","Apple Inc.","20260628","2026-07-10 23:22:00"
"COMTECH","LocalServiceComponents","1.0.0.119",,"20260602","2026-07-10 23:22:00"
"COMTECH","Logi Download Assistant","2.0.529","Logitech",,"2026-07-10 23:22:00"
"COMTECH","Microsoft .NET SDK 10.0.301 (x64)","10.3.126.27133","Microsoft Corporation","20260706","2026-07-10 23:22:00"
"COMTECH","Microsoft .NET SDK 10.0.301 (x64) from Visual Studio","40.11.22621","Microsoft Corporation","20260628","2026-07-10 23:22:00"
"COMTECH","Microsoft Edge","150.0.4078.48","Microsoft Corporation","20260704","2026-07-10 23:22:00"
"COMTECH","Microsoft Office LTSC Professional Plus 2024 - en-us","16.0.17932.20842","Microsoft Corporation",,"2026-07-10 23:22:00"
"COMTECH","Microsoft OneDrive","26.113.0614.0004","Microsoft Corporation",,"2026-07-10 23:22:00"
"COMTECH","Microsoft System CLR Types for SQL Server 2019","15.0.2000.5","Microsoft Corporation","20260628","2026-07-10 23:22:00"
"COMTECH","Microsoft Teams Meeting Add-in for Microsoft Office","1.26.11802","Microsoft","20260620","2026-07-10 23:22:00"
"COMTECH","Microsoft Visual C++ 2015-2022 Redistributable (x64) - 14.42.34438","14.42.34438.0","Microsoft Corporation",,"2026-07-10 23:22:00"
"COMTECH","Microsoft Visual C++ v14 Redistributable (x86) - 14.51.36247","14.51.36247.0","Microsoft Corporation",,"2026-07-10 23:22:00"
"COMTECH","Microsoft Visual Studio Installer","4.7.25.22189","Microsoft Corporation","20260628","2026-07-10 23:22:00"
"COMTECH","Nitro PDF Pro","14.41.1.4","Nitro","20260615","2026-07-10 23:22:00"
"COMTECH","SADP","3.1.4.5","Hangzhou Hikvision Digital Technology Co., Ltd.",,"2026-07-10 23:22:00"
"COMTECH","Surveillance Viewer IPC UN version 0.3.5.5","0.3.5.5","Surveillance Viewer","20260517","2026-07-10 23:22:00"
"COMTECH","Visual Studio Community 2026","18.7.2","Microsoft Corporation","20260628","2026-07-10 23:22:00"
"COMTECH","vs_CoreEditorFonts","17.7.40001","Microsoft Corporation","20260628","2026-07-10 23:22:00"
"COMTECH","Web Components","3.0.7.27",,"20260602","2026-07-10 23:22:00"
"COMTECH","WinRAR 7.23 (64-bit)","7.23.0","win.rar GmbH",,"2026-07-10 23:22:00"
"COMTECH","Adobe Reader XI (11.0.03)","11.0.03","Adobe Systems Incorporated","20260604","2026-07-10 23:32:28"
"COMTECH","Advanced IP Scanner 2.5.1","2.5.4594.1","Famatech","20260612","2026-07-10 23:32:28"
"COMTECH","AnyDesk","ad 9.7.5","AnyDesk Software GmbH",,"2026-07-10 23:32:28"
"COMTECH","Dell PointStick Driver","10.3201.101.307","ALPS ELECTRIC CO., LTD.",,"2026-07-10 23:32:28"
"COMTECH","Git","2.54.0","The Git Development Community","20260621","2026-07-10 23:32:28"
"COMTECH","GitHub CLI","2.96.0","GitHub, Inc.","20260706","2026-07-10 23:32:28"
"COMTECH","Google Chrome","150.0.7871.101","Google LLC","20260623","2026-07-10 23:32:28"
"COMTECH","Google Drive","128.0.0.0","Google LLC",,"2026-07-10 23:32:28"
"COMTECH","iCloud Outlook","15.8.0.127","Apple Inc.","20260628","2026-07-10 23:32:28"
"COMTECH","LocalServiceComponents","1.0.0.119",,"20260602","2026-07-10 23:32:28"
"COMTECH","Logi Download Assistant","2.0.529","Logitech",,"2026-07-10 23:32:28"
"COMTECH","Microsoft .NET SDK 10.0.301 (x64)","10.3.126.27133","Microsoft Corporation","20260706","2026-07-10 23:32:28"
"COMTECH","Microsoft .NET SDK 10.0.301 (x64) from Visual Studio","40.11.22621","Microsoft Corporation","20260628","2026-07-10 23:32:28"
"COMTECH","Microsoft Edge","150.0.4078.48","Microsoft Corporation","20260704","2026-07-10 23:32:28"
"COMTECH","Microsoft Office LTSC Professional Plus 2024 - en-us","16.0.17932.20842","Microsoft Corporation",,"2026-07-10 23:32:28"
"COMTECH","Microsoft OneDrive","26.113.0614.0004","Microsoft Corporation",,"2026-07-10 23:32:28"
"COMTECH","Microsoft System CLR Types for SQL Server 2019","15.0.2000.5","Microsoft Corporation","20260628","2026-07-10 23:32:28"
"COMTECH","Microsoft Teams Meeting Add-in for Microsoft Office","1.26.11802","Microsoft","20260620","2026-07-10 23:32:28"
"COMTECH","Microsoft Visual C++ 2015-2022 Redistributable (x64) - 14.42.34438","14.42.34438.0","Microsoft Corporation",,"2026-07-10 23:32:28"
"COMTECH","Microsoft Visual C++ v14 Redistributable (x86) - 14.51.36247","14.51.36247.0","Microsoft Corporation",,"2026-07-10 23:32:28"
"COMTECH","Microsoft Visual Studio Installer","4.7.25.22189","Microsoft Corporation","20260628","2026-07-10 23:32:28"
"COMTECH","Nitro PDF Pro","14.41.1.4","Nitro","20260615","2026-07-10 23:32:28"
"COMTECH","SADP","3.1.4.5","Hangzhou Hikvision Digital Technology Co., Ltd.",,"2026-07-10 23:32:28"
"COMTECH","Surveillance Viewer IPC UN version 0.3.5.5","0.3.5.5","Surveillance Viewer","20260517","2026-07-10 23:32:28"
"COMTECH","Visual Studio Community 2026","18.7.2","Microsoft Corporation","20260628","2026-07-10 23:32:28"
"COMTECH","vs_CoreEditorFonts","17.7.40001","Microsoft Corporation","20260628","2026-07-10 23:32:28"
"COMTECH","Web Components","3.0.7.27",,"20260602","2026-07-10 23:32:28"
"COMTECH","WinRAR 7.23 (64-bit)","7.23.0","win.rar GmbH",,"2026-07-10 23:32:28"
